phase,window_s,mode,method,cluster_id,n_members,n_cheaters,cheater_rate,fisher_p,latency_median,is_high_risk,member_ids
T1_post,2,pooled,hdbscan,-1,39,19,0.48717948717948717,0.844576102576015,14.417000000000002,False,40;76;96;150;166;183;198;206;210;221;223;235;240;241;248;250;273;275;309;310;321;322;323;340;343;348;357;361;375;380;391;396;402;415;421;427;464;468;86
T1_post,2,pooled,hdbscan,0,51,26,0.5098039215686274,1.0,15.116500000000002,False,6;8;39;61;69;73;90;103;112;158;160;176;189;190;212;215;227;229;230;234;253;265;278;286;288;307;308;313;350;354;355;362;371;373;378;384;388;393;403;408;411;413;416;431;440;442;445;463;469;471;14
T1_post,2,pooled,hdbscan,1,18,10,0.5555555555555556,0.7979712043440569,9.349999999999994,False,30;91;214;224;232;237;251;256;284;320;328;329;370;377;381;398;401;405
T1_post,2,pooled,hdbscan,2,5,2,0.4,0.6789758825968941,10.966499999999996,False,93;165;259;325;432
T1_post,2,pooled,kmeans_k3,0,33,20,0.6060606060606061,0.21501590786060223,15.834000000000003,False,8;76;103;165;166;176;190;206;212;248;265;273;275;307;308;309;321;322;323;343;348;355;357;361;362;378;380;391;396;415;421;431;469
T1_post,2,pooled,kmeans_k3,1,40,15,0.375,0.050347374568376624,13.334000000000003,False,6;39;40;61;69;73;90;112;150;183;189;198;215;227;229;230;234;241;253;278;286;288;310;313;350;354;371;375;384;388;393;403;408;416;427;440;442;445;463;14
T1_post,2,pooled,kmeans_k3,2,40,22,0.55,0.556321255223261,10.966499999999996,False,30;91;93;96;158;160;210;214;221;223;224;232;235;237;240;250;251;256;259;284;320;325;328;329;340;370;373;377;381;398;401;402;405;411;413;432;464;468;471;86
T1_post,5,pooled,hdbscan,-1,13,6,0.46153846153846156,1.0,13.450500000000005,False,96;227;320;340;350;371;381;393;421;427;432;468;471
T1_post,5,pooled,hdbscan,0,9,3,0.3333333333333333,0.48651957847344046,10.349999999999994,False,6;8;40;183;215;230;253;310;14
T1_post,5,pooled,hdbscan,1,76,40,0.5263157894736842,0.4682438179507331,13.334000000000003,False,30;39;61;69;73;76;90;91;93;103;112;150;158;165;166;176;189;190;198;210;212;214;221;223;224;229;232;234;235;237;240;241;248;251;256;259;265;273;275;278;284;286;307;308;309;321;322;323;325;343;348;354;355;357;361;362;373;375;377;378;380;384;388;396;398;401;402;403;405;408;411;415;416;445;464;86
T1_post,5,pooled,kmeans_k4,0,24,11,0.4583333333333333,0.8146682901704361,13.550000000000011,False,39;76;103;112;150;176;190;198;212;223;232;235;240;251;265;273;322;343;361;377;378;396;411;468
T1_post,5,pooled,kmeans_k4,1,28,13,0.4642857142857143,0.8233534607987645,16.165999999999997,False,73;90;91;93;158;166;210;214;221;234;241;248;259;307;308;309;320;323;340;348;362;375;398;402;408;445;464;471
T1_post,5,pooled,kmeans_k4,2,22,10,0.45454545454545453,0.8091549898780238,11.332999999999984,False,6;8;40;69;165;183;215;227;229;230;253;310;325;355;371;381;384;403;415;416;421;14
T1_post,5,pooled,kmeans_k4,3,24,15,0.625,0.23989839966907012,10.7085,False,30;61;96;189;224;237;256;275;278;284;286;321;350;354;357;373;380;388;393;401;405;427;432;86
T1_post,10,pooled,hdbscan,-1,19,10,0.5263157894736842,1.0,12.102499999999992,False,61;165;166;221;229;256;259;265;323;343;355;357;361;378;381;396;408;471;86
T1_post,10,pooled,hdbscan,0,15,7,0.4666666666666667,0.775684032773929,11.216499999999996,False,8;40;183;212;215;230;251;253;286;310;371;377;380;403;432
